ACSF_1,ACSF_2,ACSF_3,ACSF_4,ACSF_5,ACSF_6,ACSF_7,ACSF_8,ACSF_9,ACSF_10,ACSF_11,ACSF_12,ACSF_13,ACSF_14,ACSF_15,ACSF_16,ACSF_17,ACSF_18,ACSF_19,ACSF_20
4.542,0.05,0.713,2.534,3.308,0.354,2.121,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.211,0.016,0.305,0.797,0.369,0.0,0.0,0.0,1.529,0.011,0.339,1.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.833,0.05,0.527,0.751,1.803,0.62,1.799,0.709,1.238,0.002,0.092,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.898,0.197,1.369,1.354,0.819,0.032,0.431,0.787,0.892,0.0,0.008,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.814,0.027,0.401,0.793,1.4,0.097,0.683,0.679,1.462,0.003,0.168,1.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.135,0.024,0.373,0.809,0.502,0.0,0.0,0.01,0.881,0.0,0.002,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.286,0.234,1.969,2.736,3.336,0.848,2.652,1.378,2.949,0.296,1.567,1.316,2.228,0.019,0.477,1.825,0.0,0.0,0.0,0.0
1.59,0.36,0.932,0.663,1.249,0.256,0.881,0.411,1.413,0.035,0.449,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.512,0.582,1.848,1.252,1.1,0.003,0.122,0.663,2.102,0.041,0.699,1.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.431,0.074,0.621,0.767,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11,0.0,0.001,0.079,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616,0.0,0.004,0.127,1.716,0.203,1.386,1.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.383,0.064,0.583,0.748,0.549,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.847,0.074,0.619,0.697,1.69,0.141,1.211,1.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.672,0.0,0.02,0.31,3.155,0.347,2.174,1.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.738,0.002,0.099,0.62,3.195,0.068,1.267,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.483,1.462,2.718,1.17,0.783,0.01,0.24,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.635,0.0,0.007,0.176,3.074,0.244,1.92,2.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.642,1.524,3.626,1.168,0.832,0.048,0.515,0.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.071,0.008,0.295,1.439,5.175,0.203,1.805,2.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.644,0.0,0.009,0.206,3.083,0.245,1.925,2.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.253,0.431,2.332,1.891,0.748,0.003,0.121,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.334,0.201,2.111,3.002,0.745,0.003,0.115,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.659,0.0,0.014,0.257,3.003,0.117,1.418,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.553,0.0,0.008,0.244,0.997,0.012,0.265,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.582,0.0,0.001,0.066,2.72,0.234,1.459,1.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.158,0.98,0.576,1.715,2.402,0.08,1.071,2.239,1.553,0.236,0.885,0.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.897,0.276,0.89,0.388,1.626,0.268,0.971,0.986,0.809,0.024,0.373,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.413,0.033,0.441,0.868,0.895,0.267,0.886,0.398,1.629,0.251,0.973,1.032,0.811,0.025,0.385,0.796,0.0,0.0,0.0,0.0
1.314,0.138,0.765,0.576,3.027,0.163,1.354,2.02,0.852,0.085,0.651,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.563,0.239,1.906,2.069,1.361,0.0,0.016,0.389,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.33,0.321,2.549,2.78,0.69,0.0,0.032,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
