,Formula,SGnumber,Magmom,Magnetic
0,Ca4As4,14,0.000,False
1,In2Se2,12,0.000,False
2,Sc4S6,65,0.000,False
3,Zr3B2H2S2,187,0.000,False
4,Zr2Te10,59,0.000,False
5,Al2MgSe4,164,0.000,False
6,Ca2Mn2Si2,129,3.311,True
7,Cr2Br2O2,59,6.000,True
8,Hf2Ge2Te8,31,0.000,False
9,Ti3C2H2O2,187,0.000,False
10,In4I4Te4,14,0.000,False
11,Li2Cl2O4,113,0.000,False
12,Na2H2O2,129,0.000,False
13,Nb2Br4Se4,12,0.000,False
14,Nb3Cl7Te,156,0.000,False
15,Ni2Ta4S10,59,0.000,False
16,Pd2O6Se2,11,0.000,False
17,Pt4Tl2Te6,164,0.000,False
18,Sc4I4O4,11,0.000,False
19,Ta3I7Te,156,0.000,False
20,W2O12Sb4,4,0.000,False
21,Zr2Cl2N2,164,0.000,False
22,In2Se2,164,0.000,False
23,Cu4Cl4H4O4,14,3.983,True
24,HfNa2H6O6,147,0.000,False
25,Li6H2O8Te2,11,0.000,False
26,Na2PtH6O6,147,0.000,False
27,Sn2F2O6P2,7,0.000,False
28,Mn3C2F2,187,6.867,True
29,Hf4C3H2O2,164,0.000,False
30,Nb3C2,187,0.000,False
31,Ti3N2,187,0.000,False
32,Ti4C3F2,164,0.000,False
33,Mn4N3O2,164,11.168,True
34,Sc4C3,164,0.000,False
35,V4N3,164,0.000,False
36,Al2Se2,187,0.000,False
37,Sc2Br2,164,1.457,True
38,Rb2Cl2,129,0.000,False
39,F2Ge2,164,0.000,False
40,Os2F2,164,0.000,False
41,F2Si2,164,0.000,False
42,Zr2F2,164,0.000,False
43,Fe2Te2,129,3.821,True
44,Ga2Te2,187,0.000,False
45,GeTe,156,0.000,False
46,I2Sb2,12,0.000,False
47,Nb2Te2,164,0.000,False
48,Ni2Se2,129,0.000,False
49,Pd2S2,164,0.000,False
50,Ru2Se2,129,0.000,False
51,Sn2S2,31,0.000,False
52,BaCl2,164,0.000,False
53,CaCl2,187,0.000,False
54,CdCl2,115,0.000,False
55,CoBr2,115,3.000,True
56,Co4S8,2,0.000,False
57,CrO2,115,2.000,True
58,CuI2,115,0.000,False
59,FeO2,187,1.988,True
60,Bi2Hf,187,0.000,False
61,HfTe2,187,0.000,False
