sigle-atom,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData maximum CovalentRadius,MagpieData mode NdUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode GSmagmom,MagpieData mean SpaceGroupNumber,vpa,packing fraction,sine coulomb matrix eig 0,sine coulomb matrix eig 3,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 8,sine coulomb matrix eig 11,SOAP_40,magmom,theoretical
3.736,55,33,77,862.5733333,632.2844444,8,13.33333333,3.555555556,132,0,2,2.666666667,0.888888889,0,123,90.05243272,0.073555743,1491.101695,1202.240174,395.6373725,380.3983747,344.3280154,361.3015666,0,15.253,4
3.057,49,46,77,833.5333333,897.6444444,11,13,4.666666667,139,0,5,3,2,0,101.6666667,76.08815462,0.082226751,2643.665053,966.679995,66.53388278,0,0,0,0,5.822,3
0.569,9,78,71.4,796.36,1038.184,14,12.4,5.04,215,0,7,2.8,1.68,0,77.1,61.48660751,0.119543625,7810.544654,59.41881986,14287.48883,58.91437803,70.91602807,0,0,1.611,1
4.054,52,41,70.85714286,1758.571429,1179.673469,10,11.85714286,4.163265306,139,5,4,3.571428571,1.469387755,0.000310121,152.7142857,23.84911191,0.230034493,1318.805499,39.28521355,28.38712262,93.41984356,0,0,8.894423903,11.163,4
4.154,52,35,69.77777778,708.3055556,720.617284,9,11.66666667,4.148148148,139,5,3,3.666666667,1.185185185,0.000310121,163.7777778,19.55213801,0.291168829,1357.016756,990.4190486,72.03074448,54.97395676,42.41688061,0,9.531572145,14.767,4
1.969,58,37,76.5,1016.9,751.1,8,13,4,126,0,2,2,1,0,129,54.54231285,0.152877831,1225.196807,2455.716958,0,0,0,0,0,4.042,2
0.382,11,84,53,1039.9,774.1,14,10,7,170,0,8,5,4,0,129,53.08872832,0.221590455,685.1257375,2494.949203,0,0,0,0,0,0.762,0
4.064,52,42,73,845.3,673.7,10,12,5,139,0,4,3,2,0,140.5,56.43172698,0.138954019,1217.645273,428.5582111,0,0,0,0,9.650061102,8.057,4
1.92,58,38,77,1077.425,690.575,8,13,4,139,0,2,2,1,0,129,61.7424296,0.176540146,1233.021784,6690.726834,0,0,0,0,0,3.947,2
3.173,55,35,72.5,1266.83,544.17,8,12,4,138,0,2,3,1,0,190.5,59.34325046,0.193687407,1174.363586,6392.49005,0,0,0,0,0,6.287,3
2.345,49,38,74.33333333,763.2,944.5333333,10,12.66666667,4.444444444,139,0,4,3.333333333,1.777777778,0,84.33333333,56.87291032,0.077972668,1029.011822,0,0,0,0,0,0,3.954,2
3.651,49,41,76.33333333,1208.44,647.7066667,10,12.66666667,4.444444444,139,0,4,3.333333333,1.777777778,0,177.6666667,107.7049161,0.10671788,1018.479437,0,0,0,0,0,0,5.157,2
3.652,52,36,76,765.24,502.5066667,9,13,4,139,0,3,3,1.333333333,0,119,57.58519726,0.115027366,1149.462319,0,0,0,0,0,0.341488274,6.238,3
1.557,61,35,84.33333333,833.9,596.0666667,7,14.66666667,3.111111111,139,0,1,1.333333333,0.444444444,0,117.6666667,81.86753096,0.135560765,1465.51259,0,0,0,0,0,0,3.713,2
2.682,46,43,74.66666667,1057,750.6666667,11,12.33333333,4.888888889,153,0,5,3.666666667,2.222222222,0,85.66666667,110.1508297,0.069744511,895.7992876,2292.203401,2263.005844,0,0,0,0,5.094,3
3.491,49,44,73.2,906.01,1019.192,11,12.2,4.96,139,0,5,3.4,2.08,0,136.4,30.9693652,0.162648634,1124.145763,99.51249321,0,0,0,0,0,6.763,3
4.393,52,40,77.71428571,462.6671429,603.6187755,15,9,5.714285714,139,0,4,2.714285714,1.387755102,0,148.5714286,25.14136875,0.148184251,1241.949237,70.32190753,-0.801147626,-0.806677643,0,0,8.129035863,8.679,4
0.928,61,33,70.875,1160.76375,709.0453125,7,12.125,2.65625,124,2,4,2.125,0.71875,0.5953947,164.625,36.13648374,0.239060082,2135.407504,434.3975503,1431.498828,1380.722044,0,0,0,3.591,1
0.711,66,28,87,463.0325,437.14875,6,15.5,2.25,136,0,0,1,0,0,104.25,81.42381254,0.070226278,18608.90247,438.7404735,416.1456776,423.0827949,0,0,0,3.482,1
0.581,64,31,87.25,538.7925,409.48875,6,15.5,2.25,132,0,0,1,0,0,104.25,81.73567296,0.089978685,3211.814432,2496.768278,2398.065936,2439.161974,0,0,0,3.407,1
